guid,sentence,translation,freq ranks,audio,tags
KR;z:n7+Ny,"Jeg stod op klokken seks, spiste morgenmad og gik derefter i skole.","I got up at six, ate breakfast and then went to school.",[ 11 275 68 123 291 312 1135 16 134 3000+ 4 ], [sound:googletts-997fdeb6-faba6f6d-9946799d-1b7e94a5-45228542.mp3],CardType::Sentence
xb%u`3jdVG,"Hvornår vil Tom være her? ""Jeg ville virkelig ønske jeg vidste det.""","When will Tom get here? ""I really wish I knew.""",[ 1383 20 80 40 50 3000+ 65 208 317 11 186 ], [sound:googletts-942221c4-088bed24-9bab0d52-601ec48b-d4a394cd.mp3],CardType::Sentence
hyr|rIs}g5,Vi var nødt til at blive inde på grund af regnen.,We couldn't go out because of the rain.,[ 46 18 226 8 3 90 1592 9 334 14 3000+ ], [sound:googletts-99762c0b-16f31b23-dee472fe-f9f66e7b-b7e8c702.mp3],CardType::Sentence
x_cZ25j:Jd,"Når man ser fjernsyn eller hører radio, så er den musik man hører, ofte af afrikansk oprindelse.","When you watch television or listen to the radio, the music which you hear is often African in origin.",[ 139 107 59 587 76 503 3000+ 21 1 24 788 ], [sound:googletts-ee17524f-26c79cd9-98ec9aba-7e54a018-c3a934f8.mp3],CardType::Sentence
"qteH,WahtO",Hun nærmede sig de 30 da jeg mødte hende første gang.,She was approaching thirty when I first met her.,[ 39 1421 48 37 3000+ 95 11 285 91 129 113 ], [sound:googletts-18dd2ab1-2243b644-a7a6e2da-970239ce-148780d9.mp3],CardType::Sentence
tBK(<}|%JB,Min mand og jeg vil rejse til Versailles i foråret for at se en opera.,My husband and I will travel to Versailles in the spring to watch an opera.,[ 25 146 16 11 20 551 8 3000+ 4 1472 10 ], [sound:googletts-b21d7d72-773a84f9-da402e95-c7e8b18d-58382e5c.mp3],CardType::Sentence
cspc`dv]$K,"Jeg har lige opdaget denne hjemmeside, og jeg synes den er fantastisk!",I just discovered this website and I think it's fantastic!,[ 11 6 111 1804 52 3000+ 16 11 217 24 1 ], [sound:googletts-c578ecfc-da689c0a-b0088f02-081e848a-abf3a6c4.mp3],CardType::Sentence
"q-,quJF&lV",Vi holdt øje med ham indtil han var ude af syne.,We watched him until he was out of sight.,[ 46 206 983 17 47 294 23 18 605 14 3000+ ], [sound:googletts-d2f49cec-b87bd5ca-9efbae1b-d83bdd41-41bff6f5.mp3],CardType::Sentence
h/mMZ`%_cz,"Når du ser fjernsyn eller hører radio, så er den musik du hører, ofte af afrikansk oprindelse.","When you watch television or listen to the radio, the music which you hear is often African in origin.",[ 139 7 59 587 76 503 3000+ 21 1 24 788 ], [sound:googletts-d00cfa75-71e76fee-89a5bccb-34212c5a-13754b21.mp3],CardType::Sentence
NUjt+Q1B~|,Tom er så intelligent at han skiller sig ud i klassen.,Tom is so intelligent that he stands out in class.,[ 80 1 21 656 3 23 1305 48 58 4 3000+ ], [sound:googletts-520e15a3-2671eae6-f9d3bc5e-d8434d6a-7aab21d8.mp3],CardType::Sentence
J^u0/e1i*Y,De hader ham fordi han giver dem et bjerg af hjemmearbejde.,They hate him because he gives them a mountain of homework.,[ 37 161 47 168 23 298 171 15 1258 14 3000+ ], [sound:googletts-5e36cf3e-e9f6f072-430f6147-cb0f8a21-50b68118.mp3],CardType::Sentence
rv*Ng>=S:@,"Jeg vil helt sikkert engang besøge Frankrig, men jeg ved bare ikke præcist hvornår.","Sometime I'll definitely visit France, I just don't know exactly when.",[ 11 20 262 552 558 480 3000+ 45 11 26 181 ], [sound:googletts-7e688a77-6bee0eb9-b094578c-4f98fb86-0906d0d8.mp3],CardType::Sentence
yp=K)zU&tL,"Jeg tog det for givet, at du var bekendt med faren.",I took it for granted that you were aware of the danger.,[ 11 55 12 10 522 3 7 18 1454 17 3000+ ], [sound:googletts-2afb284e-1304e6dd-ef223118-8381d77b-aae5925f.mp3],CardType::Sentence
sIe[ZPRf7O,Jeg kan ikke forstille mig hvorfor nogen ville ønske at stjæle sådan noget som det.,I can't imagine why anyone would want to steal something like that.,[ 11 13 5 3000+ 19 333 124 65 317 3 1204 ], [sound:googletts-fff22267-17d8af34-fc4bc422-1ae18f76-cd77a365.mp3],CardType::Sentence
ixVZT?J2si,Vi har ikke gjort noget forkert. Det var kun et kys.,We did nothing wrong. It was only a kiss.,[ 46 6 5 288 41 3000+ 12 18 85 15 1566 ], [sound:googletts-c3e0e983-0f3905ab-c76813d1-3df2e3e4-0a69fad9.mp3],CardType::Sentence
NLI{g78sg,Lad os gå ud og spise middag sammen fra tid til anden.,Let's go out and eat dinner together from time to time.,[ 3000+ 73 77 58 16 147 1123 383 36 153 8 ], [sound:googletts-c90a267a-e1fa421d-334ad5ad-2de3984c-f458b049.mp3],CardType::Sentence
p)T/u;eHM#,Tom valgte en sang fra listen og begyndte at synge den.,Tom chose a song from the list and began singing it.,[ 80 657 2 510 36 3000+ 16 207 3 536 24 ], [sound:googletts-90f3e7b9-c6e5491b-7f692735-1425958b-af1b0f26.mp3],CardType::Sentence
t4w(pb3NH5,"Ved du hvad dag det er i dag? ""Hvad snakker du om?"" ""Det er vores bryllupsdag!""","Do you know what day it is today? ""What are you talking about?"" ""It's our wedding anniversary!""",[ 26 7 38 87 12 1 4 87 3000+ 1797 7 ], [sound:googletts-4aaf6c7a-765e1844-32dd135a-220cf173-306becaa.mp3],CardType::Sentence
GeWe/M9L27,Tom gik over til kvinden der havde en drink i hånden og spurgte hende hvad hendes navn var.,Tom walked over to the woman with a drink in her hand and asked her what her name was.,[ 80 134 69 8 3000+ 28 60 2 957 4 711 ], [sound:googletts-0daf7026-951c1eec-4c611483-1b334e80-08fd905d.mp3],CardType::Sentence
E@?dNwU3g!,Det ser ud til at jeg har efterladt min pung derhjemme.,I seem to have left my wallet at home.,[ 12 59 58 8 3 11 6 588 25 1201 3000+ ], [sound:googletts-339746ed-8591f348-3910dbc8-f7bf6654-a4065cd3.mp3],CardType::Sentence
ejr)1P}}l=,Vejret har været godt hele ugen; det er på høje tid at vi tog på vandretur.,The weather has been nice all week; it is high time we went on a hike.,[ 703 6 114 78 98 3000+ 12 1 9 794 153 ], [sound:googletts-34316583-808d0fe8-23b0a9fc-769f472b-dbb442f8.mp3],CardType::Sentence
y2LUp|S5J2,Jeg har holdt min vægt nede selv om mange af mine venner har taget på i vægt efterhånden som de er blevet ældre.,I've kept my weight down even though many of my friends have gained weight as they've grown older.,[ 11 6 206 25 1220 3000+ 255 22 51 14 81 ], [sound:googletts-73a27338-dc29f1d6-a6d2bcd5-07c8d7db-3de1000c.mp3],CardType::Sentence
CMok<~`]v1,Jeg skal stille dig et par spørgsmål og tage en blodprøve.,I must ask you a few questions and take a blood sample.,[ 11 79 743 31 15 351 516 16 101 2 3000+ ], [sound:googletts-86058377-75e92afe-394b3818-93b920ef-c06cac31.mp3],CardType::Sentence
F-<G0EN>w},"Hvis jeg var en rig mand, ville jeg købe en diamantring til dig.","If I were a rich man, I would buy you a diamond ring.",[ 185 11 18 2 1189 146 65 11 198 2 3000+ ], [sound:googletts-4212cc86-03904064-b97fbb13-8777aa43-855714a4.mp3],CardType::Sentence
l.KU!ypLkF,Panoramavinduet var for beskidt til at man kunne se igennem det.,The picture window is too dirty to see through.,[ 3000+ 18 10 926 8 3 107 42 54 593 12 ], [sound:googletts-5fcbc7d2-f63bda37-37a70a90-0c4bab4f-e9700ad9.mp3],CardType::Sentence
Ok-7z??*Kt,Du kan skrive i hvilket som helst sprog du måtte ønske. I Tatoeba er alle sprog lige.,"You may write in any language you want. In Tatoeba, all languages are equal.",[ 7 13 136 4 414 27 543 149 7 463 3000+ ], [sound:googletts-e8cc44c2-6e6904b7-afa427c3-6bbddfd8-56fdcb74.mp3],CardType::Sentence
mXQ.LlvQ/m,Jeg er ikke bekendt med alt det her i alle enkeltheder.,I am not familiar with the ins and outs of all this.,[ 11 1 5 1454 17 118 12 50 4 70 3000+ ], [sound:googletts-b9f4b8b0-300ed239-cfe91abe-3052b70d-a1dd8438.mp3],CardType::Sentence
iMFWZfs8{F,Vi var nødt til at lukke vinduet på grund af myggene.,We had to shut the window because of the mosquitoes.,[ 46 18 226 8 3 415 570 9 334 14 3000+ ], [sound:googletts-66153257-d8534de9-ad4c0d3c-46fbb47e-982b5881.mp3],CardType::Sentence
Do]coP;TJ+,"Lad mig tage mine briller på, for jeg kan ikke høre dig.",Let me put on my glasses since I can't hear you.,[ 3000+ 19 101 81 1192 9 10 11 13 5 195 ], [sound:googletts-b3e3e64a-e7c7c6b3-9efa50d7-8d43b67d-82d24244.mp3],CardType::Sentence
l#>5ur:Q4;,"Den lille prins er en meget populær bog, der blev oversat til mange sprog.",“The Little Prince” is a very popular book that was translated into many languages.,[ 24 154 3000+ 1 2 29 411 140 28 35 810 ], [sound:googletts-ff798d12-8a3e3264-43eebc53-86cce77a-2ec14bc3.mp3],CardType::Sentence
jIU1*|lxKi,Det er mig altid en glæde når jeg finder en anledning til at sige hej til dig.,I am always pleased when I find a reason to say hello to you.,[ 12 1 19 94 2 814 139 11 529 2 3000+ ], [sound:googletts-22af92e1-a2265344-6a5a77f9-b2211fe2-565a5d4c.mp3],CardType::Sentence
j7<aoR@V7:,Tom blev overrasket over at se John og Mary på date.,Tom was surprised to see John and Mary out on a date.,[ 80 35 569 69 3 54 667 16 75 9 3000+ ], [sound:googletts-10ed91f5-1f16a7bd-1c9b445a-c9b1bc2d-927b1f02.mp3],CardType::Sentence
Aon&_.]HW+,"Toms drøm er at bo i en lille by, i Sydfrankrig.",Tom's dream is to live in a small town in the south of France.,[ 231 338 1 3 462 4 2 154 368 4 3000+ ], [sound:googletts-45e774a2-76709133-95150f28-63ec6842-2d4e813e.mp3],CardType::Sentence
"q>,_m_H7={","Godhjertede kvinder er altid smukke, men smukke kvinder er ikke altid godhjertede.","Good-hearted women are always beautiful, but beautiful women are not always good-hearted.",[ 3000+ 363 1 94 295 45 295 363 1 5 94 ], [sound:googletts-eca6976b-751b7216-1e781221-705c4dc2-ea5af9ed.mp3],CardType::Sentence
Mg6lWXA${},Tom opfører sig som om han ikke ønsker at blive set sammen med os.,Tom acts like he doesn't want to be seen with us.,[ 80 1164 48 27 22 23 5 56 3 90 3000+ ], [sound:googletts-11a05078-32825781-58be5d68-70907b54-eeae7cfa.mp3],CardType::Sentence
Jy9yIYmU[^,Dette er første gang nogensinde at jeg har plantet et træ.,This is the first time I've ever planted a tree.,[ 63 1 129 113 163 3 11 6 1008 15 3000+ ], [sound:googletts-9cae9c00-67a03233-f117f958-7e44b80e-61c5ef1c.mp3],CardType::Sentence
vEruJuFp6T,"Man kan skrive i hvilket som helst sprog, man vil. I Tatoeba er alle sprog lige.","You may write in any language you want. In Tatoeba, all languages are equal.",[ 107 13 136 4 414 27 543 149 107 3000+ 4 ], [sound:googletts-55064388-45875f49-292b07af-88eb749a-aa2ab581.mp3],CardType::Sentence
I1WIkZ/0qO,Hvorfor tror vi det er så vigtigt at blive en milionær?,Why do we believe it's so important to become a millionaire?,[ 333 74 46 12 1 21 922 3 90 2 3000+ ], [sound:googletts-96646eb6-8d318d3a-a697cd56-836c53d2-da131c68.mp3],CardType::Sentence
q$$zV<_E]*,"Selv om han er min nabo, kendte jeg ham ikke godt.","Even though he is my neighbour, I did not know him well.",[ 255 22 23 1 25 3000+ 1035 11 47 5 78 ], [sound:googletts-fb1f29ab-f38a8d0d-0212aaa1-91183d78-58f526a4.mp3],CardType::Sentence
fC2(gWBOV(,En hund løber efter en kat og katten efter en mus.,"A dog runs after a cat, and the cat after a mouse.",[ 2 127 589 105 2 117 16 429 105 2 3000+ ], [sound:googletts-2520e805-f0b69021-1d6661f1-c4fa48be-02bc456e.mp3],CardType::Sentence
ht-gK2Yp-6,Tom er en dreng der er for ærlig til at lyve.,Tom is too honest a boy to tell a lie.,[ 80 1 2 375 28 1 10 982 8 3 3000+ ], [sound:googletts-750ddf0a-5016521a-d53c4cc9-29baccad-39e7b737.mp3],CardType::Sentence
t8R@*7u72x,Tom blev sparket ud af huset af sine forældre da han tilstod at være ateist.,Tom was kicked out of his house by his parents when he confessed to being an atheist.,[ 80 35 3000+ 58 14 572 14 155 428 95 23 ], [sound:googletts-ae536c83-9a541c6e-7a504497-e3de5c0c-0fa7ba89.mp3],CardType::Sentence
u][t@md{V},"Selv om han er min nabo, kendte jeg ham ikke så godt.","Even though he is my neighbour, I did not know him well.",[ 255 22 23 1 25 3000+ 1035 11 47 5 21 ], [sound:googletts-9eb177a1-c91d17d1-c97cf1c0-a304916e-43a7fdbb.mp3],CardType::Sentence
1es3nv)pS,"Selv om hvad han sagde lød fornuftigt, var jeg stadig ikke helt overbevist.","Even though what he said was sound, I still wasn't completely convinced.",[ 255 22 38 23 104 783 3000+ 18 11 180 5 ], [sound:googletts-b53f458e-b8e17178-dda5e792-ec14b8f1-00c8e42d.mp3],CardType::Sentence
lkYZVlF_GX,"Tom spurgte Mary om hvad ordet betød, men hun vidste det heller ikke.","Tom asked Mary what the word meant, but she didn't know either.",[ 80 467 75 22 38 474 3000+ 45 39 186 12 ], [sound:googletts-5f9365a9-5d6c569c-ad1eb616-eae967ee-93159d44.mp3],CardType::Sentence
"H,~K`MkKi$",Jeg skal nu ud og købe ind; om en time er jeg tilbage.,I have to go shopping; I'll be back in an hour.,[ 11 79 160 58 16 198 3000+ 22 2 886 1 ], [sound:googletts-876ca71e-7fdb7654-8dae4eb3-f1837242-daecf3f9.mp3],CardType::Sentence
q;8W2C;eV],Jeg forstår ikke hvorfor folk er bange for nye ideer. Jeg er bange for de gamle.,I can't understand why people are frightened of new ideas. I'm frightened of the old ones.,[ 11 175 5 333 398 1 261 10 170 3000+ 11 ], [sound:googletts-c950a278-cccd19aa-c4491a11-6619b95e-d3f2fca4.mp3],CardType::Sentence
Jfhg]`fX!E,"Vi bor ikke i lande, vi bor i vore sprog. Det er dit hjem, der og ingen andre steder.","We don't live in countries, we live in our languages. That is your home, there and nowhere else.",[ 46 67 5 4 484 46 67 4 594 3000+ 12 ], [sound:googletts-d1604c0c-f11a7aa0-988d4392-39614a7e-40664fc4.mp3],CardType::Sentence
"f[],w3!@)z",I dag føler jeg mig højere end bjergene. I dag ønsker jeg at røre ved himlen.,Today I feel higher than the mountains. Today I want to touch the sky.,[ 4 87 346 11 19 653 34 3000+ 4 87 56 ], [sound:googletts-d2845612-b3341801-dac6670a-5adcaac2-b0b4a07e.mp3],CardType::Sentence
f(5jt1U%`4,Isen er tyk nok til at man kan gå på den.,The ice is thick enough to walk on.,[ 3000+ 1 798 258 8 3 107 13 77 9 24 ], [sound:googletts-8e7fe28c-616335b1-7c871402-2d40d6d0-44287dbc.mp3],CardType::Sentence
e-Su>4DA8@,Vi har to katte i huset: en hvid og en sort.,"We have two cats in the house: one white, and one black.",[ 46 6 44 314 4 3000+ 2 405 16 2 397 ], [sound:googletts-52739780-f628d792-f01274b8-d0291648-a2086c9e.mp3],CardType::Sentence
gTFVCsu9K*,"Efter at Tom havde hørt nyhederne, var han i den syvende himmel.","After he heard the news, Tom was in seventh heaven.",[ 105 3 80 60 228 3000+ 18 23 4 24 675 ], [sound:googletts-6254008b-9d7b9981-ddc7140e-28ef8913-e38962f8.mp3],CardType::Sentence
P2$3L5~>8o,"Skønt Tom plejede at være min bedste ven, er jeg begyndt at hade ham.","Even though Tom used to be my best friend, I'm beginning to hate him.",[ 3000+ 80 242 3 40 25 199 209 1 11 366 ], [sound:googletts-9e0c4471-2389c763-d54a0366-da908542-84d8b84e.mp3],CardType::Sentence
QEVFBzsU0z,Det er ved at blive mørkt. Du må hellere gå hjem.,It's getting dark. You'd better go home.,[ 12 1 26 3 90 3000+ 7 102 519 77 311 ], [sound:googletts-1edef4c2-79506bb3-1d260c63-c913530f-44d775a5.mp3],CardType::Sentence
"fK=b%,SZ-+",Det der er ikke en kniv. Det HER er en kniv.,That's not a knife. THIS is a knife.,[ 12 28 1 5 2 3000+ 12 50 1 2 1014 ], [sound:googletts-9e34832f-162a7f8a-99ea3985-9b66972a-6a7a4d71.mp3],CardType::Sentence
F(tFJSXA1S,Jeg har en kat og en hund. Katten er sort og hunden er hvid.,I have a cat and a dog. The cat is black and the dog is white.,[ 11 6 2 117 16 2 3000+ 429 1 397 16 ], [sound:googletts-2b102e69-b16f6564-ca50c1d9-4edf21c2-5fec2305.mp3],CardType::Sentence
K`%qat0~ka,"Nu, da det er lovligt at gifte sig med en af samme køn, er jeg kommet et trin nærmere med at gifte mig med mig selv.","Now that same-sex marriage is legal, I'm one step closer to marrying myself.",[ 160 95 12 1 3000+ 3 584 48 17 2 14 ], [sound:googletts-f84eb681-e7398942-52b29464-082b4747-943582bc.mp3],CardType::Sentence
n>3UkS2>mp,Du hører aldrig efter. Jeg kunne lige så godt tale til væggen.,You never listen. I might as well talk to the wall.,[ 7 503 61 3000+ 11 42 111 21 78 64 8 ], [sound:googletts-2d92095d-4446d98f-62dfe5ff-9a18f402-00aec332.mp3],CardType::Sentence
NXyc)2AaM[,"Som så mange gange før, kom han for sent til timen.","As is often the case with him, he was late for class.",[ 27 21 51 224 179 96 23 10 244 8 3000+ ], [sound:googletts-ebd71a21-03a0be3c-74d07daa-7334e823-6be9c565.mp3],CardType::Sentence
O&wMY2/>b},"Fordi batteriet i mit ur er meget lille, kan jeg ikke selv udskifte det.","Because the battery of my watch is very small, I can't change it by myself.",[ 168 3000+ 4 62 381 1 29 154 13 11 5 ], [sound:googletts-b597b02d-3d63ab0b-d00dd70a-cb06974d-e023aa36.mp3],CardType::Sentence
BH/sY)f@Li,"Jeg bryder mig ikke meget om ham. For at sige det som det er, så hader jeg ham.","I don't like him very much. To tell you the truth, I hate him.",[ 11 560 19 5 29 22 3000+ 10 3 126 12 ], [sound:googletts-41d0a3dc-660f1bf3-86bdbad1-c2d6f008-e276c421.mp3],CardType::Sentence
H~/my?Orzn,Dette er første gang nogensinde at jeg har slået min hund.,This is the first time I've ever beaten my dog.,[ 63 1 129 113 163 3 11 6 3000+ 25 127 ], [sound:googletts-3eca932f-6e41b777-90471a96-da5720d4-6380c92f.mp3],CardType::Sentence
b-4uMB|Y$w,Den lærde mand ved at der er ting han ikke ved.,The learned man knows that there are things which he doesn't know.,[ 24 3000+ 146 26 3 28 1 359 23 5 26 ], [sound:googletts-e75c82f5-0e27d3a7-fc531874-876e6983-ab2d2856.mp3],CardType::Sentence
Hfjy(_yP3r,"Jeg er bange for, at jeg ikke er den store musiker.",I'm afraid I'm not much of a musician.,[ 11 1 261 10 3 11 5 1 24 310 3000+ ], [sound:googletts-f4105562-fc6fc8bb-c1187528-f1e6fd66-a4034e61.mp3],CardType::Sentence
Lvx6}s0)u=,Jeg synes at du burde tage dig et hvil; du ser syg ud.,I think you'd better take a rest; you look ill.,[ 11 217 3 7 157 101 31 15 3000+ 7 59 ], [sound:googletts-21b8a443-afa1f387-ea77cf14-e3d683fb-afa96e77.mp3],CardType::Sentence
pB~!PmitiV,Du kan købe den hund hvis du vil. Den er til salg.,You can buy that dog if you want to. It is for sale.,[ 7 13 198 24 127 185 7 3000+ 24 1 8 ], [sound:googletts-e11f650c-c9630e64-9c2ba382-25043127-8b1326a2.mp3],CardType::Sentence
xFf<j<OCjf,Der var kun to muligheder tilbage for ham for at få noget at spise. Han måtte enten arbejde eller tigge.,There were only two means left to him in order to get a bite to eat. He had either to work or to beg.,[ 28 18 85 44 3000+ 239 10 47 10 3 82 ], [sound:googletts-c2f87d9d-ca7567bd-695f250a-ba2c4a16-130d0ac1.mp3],CardType::Sentence
g._Wti|V=},"Jeg har en kuglepen, men jeg vil gerne have en anden.","I have a ball-point pen, but I want another.",[ 11 6 2 3000+ 45 11 20 189 53 2 144 ], [sound:googletts-fdd0df37-bb39aebc-ed050fc1-451a7d8c-70b152b1.mp3],CardType::Sentence
"u98E3G,,9A",Det ser ud til at det også vil blive en kølig sommer i år.,It seems that it will also be a cool summer this year.,[ 12 59 58 8 3 12 216 20 90 2 3000+ ], [sound:googletts-118d4dca-fb192ae1-6cee969a-eecbb80f-5eedeb6d.mp3],CardType::Sentence
Mr<6Ip*;b!,"Jeg synes, at din mor har opdraget dig på en meget konservativ måde.",I think that your mother has brought you up in a very conservative manner.,[ 11 217 3 30 116 6 3000+ 31 9 2 29 ], [sound:googletts-7efe1ef2-6a550718-e31057b7-71790a5a-059f13c7.mp3],CardType::Sentence
gHyfT#T*aq,"Jeg vil have en forklaring, og jeg vil have den nu!",I want an explanation and I want it now.,[ 11 20 53 2 3000+ 16 11 20 53 24 160 ], [sound:googletts-8f90a205-c40afceb-4ee3811c-e9a1f248-6524b5e0.mp3],CardType::Sentence
"o8]+g#~JK,",Han vil ikke høre efter. Det er som at tale til en mur.,He won't listen. It's like talking to the wall.,[ 23 20 5 195 3000+ 12 1 27 3 64 8 ], [sound:googletts-35a81c80-a10cef78-ac2bb133-ce6b1655-1d221f34.mp3],CardType::Sentence
hC~R`LKrMy,Jeg kan ikke bebrejde Tom at han ikke ønsker at komme.,I can't blame Tom for not wanting to come.,[ 11 13 5 3000+ 80 3 23 5 56 3 131 ], [sound:googletts-5c4a59f3-97953224-8395efb9-f014bd83-69a4cca3.mp3],CardType::Sentence
K<?o7qlSa$,"Der er ikke en kone jeg vil have, men en sexveninde.","It's not a wife that I want, but a sex friend.",[ 28 1 5 2 148 11 20 53 45 2 3000+ ], [sound:googletts-1d786d38-bfc843e0-4af74a3c-bb862f3d-b53ea610.mp3],CardType::Sentence
oQA^~JnW#[,"Det er ikke en kone jeg vil have, men en sexpartner.","It's not a wife that I want, but a sex friend.",[ 12 1 5 2 148 11 20 53 45 2 3000+ ], [sound:googletts-0fde5ec3-b82a180a-9fafb14f-196992e6-cfde670c.mp3],CardType::Sentence
evbwNbL50O,"Det er ikke en kone jeg vil have, men en elskerinde.","It's not a wife that I want, but a sex friend.",[ 12 1 5 2 148 11 20 53 45 2 3000+ ], [sound:googletts-d823395f-2f86314f-4463300a-68d5182e-a10e4ba2.mp3],CardType::Sentence
nHt?<jj~jo,"Han sagde til mig at han var en løgner, men jeg stoler ikke på ham.","He told me he was a liar, but I don't believe him.",[ 23 104 8 19 3 23 18 2 3000+ 45 11 ], [sound:googletts-82512d2b-1c16cbf2-c633bbe0-65ab42c5-374d1261.mp3],CardType::Sentence
p^8c>&k7Sy,I USA er registrerede partnerskaber kun lovlige i nogle stater.,"In the US, a gay union is permitted only in some states.",[ 4 1024 1 2986 2987 85 2988 4 122 3000+ ], [sound:googletts-26d31e74-145fb1b7-ab1c15db-558e5bb9-f003e944.mp3],CardType::Sentence
EGCMSaEf;S,Den amerikanske regering har altid betragtet England som Amerikas kæledyr.,The American government has always regarded England as America's house pet.,[ 24 914 1512 6 94 2911 1384 27 2912 3000+ ], [sound:googletts-4945f4c7-7566723e-1d3bf636-ff7ac25e-94430407.mp3],CardType::Sentence
ogz=vK9!R>,"Zamenhof, skaberen af det konstruerede sprog esperanto, var en øjenlæge.","Zamenhof, creator of the constructed language Esperanto, was an ophthalmologist.",[ 2751 2749 14 12 2750 149 561 18 2 3000+ ], [sound:googletts-8228460e-a9a04c4c-1b2562ad-ec2e9220-c8b05fbb.mp3],CardType::Sentence
"zR+${,[W+d",Tooghalvtreds procent af britiske kvinder foretrækker chokolade frem for sex.,Fifty-two per cent of British women prefer chocolate to sex.,[ 3000+ 1887 14 1888 363 336 1889 364 10 1776 ], [sound:googletts-c4698325-dcaa004c-8556df5b-735b34b9-3f14faa0.mp3],CardType::Sentence
"Qo<>rp6wI,",De fleste computere i dag er baseret på von Neumann-arkitekturen.,Most computers these days are based on the von Neumann architecture.,[ 37 396 2641 4 87 1 2642 9 2643 3000+ ], [sound:googletts-4fcfffa3-f9ec95f4-b90b4029-3937f136-bb8b19af.mp3],CardType::Sentence
"o,,EW1`^`k","Det behøver næppe nævnes, men helbred er vigtigere end rigdom.","Needless to say, health is above wealth.",[ 12 284 1408 3000+ 45 825 1 2238 34 2194 ], [sound:googletts-74a12d2d-651299ea-9b5337c5-f3591a5f-2a997bd8.mp3],CardType::Sentence
I{=4RdS2TR,Borgmesteren vil snart bekendtgøre sin beslutning om at træde tilbage.,The mayor will shortly announce his decision to resign.,[ 3000+ 20 196 2268 32 1005 22 3 2269 239 ], [sound:googletts-191af18a-83a31992-0327e1e7-5c8368d0-6b890bff.mp3],CardType::Sentence
GWEFp|cJfZ,Kylie Minogue er den bedste sangerinde jeg nogensinde har set!,Kylie Minogue is the best singer I've ever seen!,[ 1156 1155 1 24 199 2913 11 163 6 3000+ ], [sound:googletts-05ec1da1-13e4d632-4576c2a2-e6030e3b-dc063cf0.mp3],CardType::Sentence
qHm16znTi+,Alle var som limet til tv-apparatet da valgresultaterne kom ind.,Everyone was glued to the TV set as the election results came in.,[ 70 18 27 2401 8 3000+ 95 2403 96 279 ], [sound:googletts-85de26db-d2a461c7-7d50f546-4856f2dc-7ada9243.mp3],CardType::Sentence
HX`d|h!0Z2,Tom blev bortvist fra skolen for at overtræde skolens regler.,Tom was expelled from school for breaking school rules.,[ 80 35 1846 36 390 10 3 1147 1847 3000+ ], [sound:googletts-c77f365d-abd74e01-ae0dcc2d-261da10c-7ce33755.mp3],CardType::Sentence
d<;WOR4k|K,Tom blev bortvist fra skolen for at overtræde skolens ordensregler.,Tom was expelled from school for breaking school rules.,[ 80 35 1846 36 390 10 3 1147 1847 3000+ ], [sound:googletts-e676325d-bf96a130-bc5550a8-102ece49-cc839093.mp3],CardType::Sentence
Awy_lKj#t|,"George, hvis du ikke lytter til radioen, så sluk den.","George, if you are not listening to the radio, turn it off.",[ 3000+ 185 7 5 669 8 2206 21 2125 24 ], [sound:googletts-a20f61fe-7ab0bffa-d9cdcfda-999cf11f-e4faa4a5.mp3],CardType::Sentence
rH#hNv$&<0,"Vi har langt mere end bare biceps i armene, Per.","We've got a lot more than just biceps in our arms, Per.",[ 46 6 339 120 34 181 2823 4 3000+ 1500 ], [sound:googletts-4d83f465-2bcade05-c20291ba-ac01014a-fb01d2cb.mp3],CardType::Sentence
P9.WcQT*8(,Det er en kolossalt dårlig idé at køre uden kørekort.,It is a colossally bad idea to drive without a driver's license.,[ 12 1 2 1827 619 3000+ 3 315 143 1898 ], [sound:googletts-e65ea837-04cbbe54-53afe1f7-54294424-29e523a2.mp3],CardType::Sentence
C$M/D$Fa#!,"Den første gruppe studerer om morgenen, den anden om aftenen.","The first group studies in the morning, and the second group studies in the afternoon.",[ 24 129 1388 370 22 2647 24 144 22 3000+ ], [sound:googletts-5668c42c-2ff050e0-ccdecf47-79716e05-b375d241.mp3],CardType::Sentence
Gzq?xDSWGt,Broen mellem Danmark og Sverige er næsten fem miles lang.,The bridge between Denmark and Sweden is almost five miles long.,[ 3000+ 263 904 16 1636 1 133 173 1344 271 ], [sound:googletts-f36d994d-90bc4eb8-e37ecb7c-68d156ac-d200d6d5.mp3],CardType::Sentence
"uW;,c&*q8k","At dømme fra hans accent, så er han fra Osaka.","Judging from his accent, he must be from Osaka.",[ 3 2045 36 72 3000+ 21 1 23 36 2319 ], [sound:googletts-bf1a1b25-25bf5d27-9269cb70-1d0996d2-ba8b0d37.mp3],CardType::Sentence
k{e>(6Jn:A,Jeg leder efter en læbestift der passer til denne neglelak.,I'm looking for a lipstick to go with this nail polish.,[ 11 634 105 2 2160 28 1370 8 52 3000+ ], [sound:googletts-2c67e27c-82bfe4ab-57a3abb3-8d5d7f73-73dd822d.mp3],CardType::Sentence
kY{V6x:E[p,"Dem, som bor i glashuse, burde ikke kaste med sten.",Those who live in glass houses should not throw stones.,[ 171 27 67 4 3000+ 157 5 935 17 2985 ], [sound:googletts-0a79c796-faa366c4-108fbbb5-402ccc3e-58f4d15d.mp3],CardType::Sentence
